CLIENTE_ID, COMENTARIO, TIPO
"56","CH.DEVUELTO $1,999.89//PAGO CARGO DEL 20 % O.K.","CXC//23-JUL-09//LUCY"
"228","09/02/2010","SUSP_AUT"
"246","CHEQUE DEVUELTO PAGO CARGO DEL 20 % $4,329.11 O.K.","CXC//19-AGO-09//LUCY"
"270","O.K. PAGADO CH. DEVUELTO CON EL CARGO DEL 20% $1,578.87","CXC//11-08-09//LUCY"
"270","CH. DEVUELTO O.K PAGADO PAGO CARGOS POR 977.00","CXC//22-SEP-09//LUCY"
"270","09/02/2010","SUSP_AUT"
"342","CLIENTE DUPLICADO","CLIENTE DUPLICADO"
"362","09/02/2010","SUSP_AUT"
"368","CHEQUE DEVUELTO FUE ERROR DEL BANCO CUBIERTO O.K. $14,356.68","CXC//20-AGO-09//LUCY"
"397","16/02/2010","SUSP_AUT"
"419","16/02/2010","SUSP_AUT"
"471","09/02/2010","SUSP_AUT"
"482","credito cancelado, solo de contado. ","CXC 21/07/09"
"495","16/02/2010","SUSP_AUT"
"520","CH. DEVUELTO ,  O.K. PAGO CARGO DEL 20%","CXC//14-SEP-09//LUCY"
"548","CLIENTE MOROSO, SE CANCELO CREDITO","CXC"
"565","CHEQUE DEVUELTO PAGO ANTES DE QUE LLEGARA EL CHEQUE O.K.","CXC//03-JUL-09//LUCY"
"831","16/12/2009","SUSP_AUT"
"896","03/11/2009","SUSP_AUT"
"955","CH. DEVUELTO PRIMER CH. DEV. SIN EL CARGO DEL 20%","CXC//09-SEP-09//LUCY"
"956","03/12/2009","SUSP_AUT"
"963","CH. DEVUELTO//PAGO ANTICIPADO SIN CARGO 20%//O.K. AUTORIZADO","CXC// 18-JUL-09//LUC"
"1016","AUTORIZACION LIC. JOSE ANTONIO $200,000.00  29/01/2010","AUT-0001"
"1016","09/02/2010","SUSP_AUT"
"1017","09/02/2010","SUSP_AUT"
"1023","09/02/2010","SUSP_AUT"
"1027","CH. DEVUELTO SIN EL CARGO O.K. LUCY ULTIMA VEZ","CXC//10-SEP-09//LUCY"
"1033","09/02/2010","SUSP_AUT"
"1039","16/12/2009","SUSP_AUT"
"1089","NO PAGA CARGOS CHEQUE DEVUELTO  Y SE TARDA EN PAGARLOS//LUCY","CXC 17-JUL-09"
"1089","AUTORIZO FACTURA 15 DIAS LIC. RSL X UNICA OCASION U $38,000","CXC//09-OCT-09//LUCY"
"1176","BLOQUEO ISAURA LE DEBE $43 PESOS","CXC//05-AGOSTO-09//L"
"1187","FILIAL DE TODO DE YMPRESION","CXC/29-JUL-09//LUCY"
"1223","16/02/2010","SUSP_AUT"
"1265","CHEQUE DEVUELTO DEBE CARGO","CXC//03-SEP-09//LUCY"
"1265","ch. devuelto","CXC//08-OCT-09//LUCY"
"1265","CHEQUE DEVUELTO DEBE CARGO DEL 20 %","CXC//19-AGO-09//LUCY"
"1276","QUITAR ACEPTACION DE CH.SRA. CONSUELO POR EL VOLUMEN DE VTAS. TAN BAJO Y NO PAGO CARGOS","CXC//24-SEP-09//LUCY"
"1276","O.K. CHEQUE DEVUELTO PAGADO FALTA CARGO AUTORIZO LA SRA. CONSUELO 10%","CXC//25-AGO-09//LUCY"
"1324","CHEQUE DEVUELTO, O.K. PAGO CARGO 20 %","CXC/30-JUL-09//LUCY"
"1439","CHEQUE DEVUELTO PAGADO CON  CARGO DEL 20 % O.K.","CXC// 01-JUL-09//LUC"
"1439","CHEQUE DEVUELTO CON CARGO DEL 20% O.K.","CXC//01-JUL-09//LUCY"
"1468","CH. DEVUELTO PAGO CARGO DEL 20% O.K.","CXC//13-AGO-09//LUCY"
"1513","O.K. PAGADO SIN EL CARGO PAGO ANTICIPADO $7,630.07","CXC//10-08-09//LUCY"
"1513","06/11/2009","SUSP_AUT"
"1554","16/02/2010","SUSP_AUT"
"1615","BOLETINADO POR PROGRESO FILIAL DE PLASTYSUAX","CXC"
"1615","NO SE MANDO A VISITAR PARA ACEPTACION POR ESTAR BOLETINADO","CXC//2-OCT-09//LUCY"
"1690","05/11/2009","SUSP_AUT"
"1832","O.K. PAGADO CON EL CARGO DEL 20% $5,100.94","CXC//12-AGO-09//LUCY"
"1889","CHEQUE DEVUELTO PAGO ANTES O.K.","CXC//26-08-09//LUCY"
"1924","TARDO MAS DE 1 MES EN PAGAR 2 CHEQUES DEVUELTOS Y NUNCA PAGO CARGOS","CXC//10-SEP-09//LUCY"
"1924","NO RECIBIR CHEQUES","CXC//LUCY"
"1944","cheque devuelto no contestan","CXC//30-SEP-09//LUCY"
"2011","CH. DEVUELTO O.K. PAGO ANTICIPADO SIN EL 20%","CXC//07-SEP-09//LUCY"
"2011","ch. devuelto pendiente","CXC//08-OCT-09//LUCY"
"2011","CH. DEVUELTO O.K. PAGO CARGO DEL 20%","CXC//14-08-09//LUCY"
"2011","CH. DEVUELTO O.K. PAGO ANTICIPADO","CXC//14-AGO-09//LUCY"
"2024","16/12/2009","SUSP_AUT"
"2026","SOLO EL 50%","CXC "
"2026","09/02/2010","SUSP_AUT"
"2027","16/02/2010","SUSP_AUT"
"2029","16/02/2010","SUSP_AUT"
"2031","09/02/2010","SUSP_AUT"
"2033","16/02/2010","SUSP_AUT"
"2034","16/12/2009","SUSP_AUT"
"2042","NO SE PUEDE SURTIR NINGUN PRODUCTO SI NO ES SOLICITADO POR EL SR. PICCINI MEZA CARLO ----NADIE  MAS PUEDE PEDIR EN SU NOMBRE --- ","CARLOS ESPINO "
"2042","03/11/2009","SUSP_AUT"
"2065","12/11/2009","SUSP_AUT"
"2104","09/02/2010","SUSP_AUT"
"2124","18/11/2009","SUSP_AUT"
